"mid","follower","sex","video","master","album","article","channel","time_ave20","play_ave20","weibo","wx","qq","taobao","mail","tiktok","redbook","self_tags","video_tag_combine","video_max_ratio"
75,374100,"男",486,3,615,12,6,9983.5,80015.85,0,0,1,0,0,0,0,"['拖稿大师', '上古老坟', '丸子', '话唠', '绅士']","游戏",0.864197530864197
79,181437,"女",941,3,0,0,0,1195.75,27027.1,1,0,0,0,0,0,0,"[]","游戏",0.645058448459086
97,14663,"男",451,1,0,0,0,585,12460.7333333333,0,0,0,0,0,0,0,"[]","动画",0.494456762749446
159,111106,"男",315,0,580,0,7,1342.25,12985.95,0,0,0,0,0,0,0,"['猫和老鼠', '真人快打', 'MMD', '兔八哥', '高飞狗']","动画",0.40952380952381
197,3672,"保密",2107,3,397,9,2,13596,148,0,0,0,0,1,0,0,"['虚拟主播', '搬运', '翻译']","音乐",0.817750355956336
395,69325,"女",355,3,5,0,0,1782.15,203088.8125,1,0,1,0,0,0,0,"['懒癌晚期']","音乐",0.363380281690141
608,129934,"女",84,3,5,0,5,303.35,259926.3,1,0,0,0,0,0,0,"['晚香玉', '宅舞']","舞蹈",0.75
700,2304,"保密",158,0,0,0,0,1078.5,2038.1,0,0,0,0,0,0,0,"[]","游戏",1
925,6449,"男",1131,0,12,0,0,795.05,31722,0,0,0,0,0,0,0,"[]","音乐",0.91158267020336
973,5524,"女",184,3,90,2,2,11994.1,7051.9,0,0,0,0,0,0,0,"[]","游戏",0.978260869565217
1422,945,"男",62,0,12,1,0,251.05,8499,0,0,0,0,0,0,0,"[]","音乐",0.580645161290323
1492,470732,"保密",370,2,13,0,4,6473.3,23181.95,1,0,1,1,0,0,0,"[]","游戏",0.964864864864865
1637,61001,"保密",86,3,140,0,0,151.45,52111.2,0,0,0,0,0,0,0,"[]","动画",0.569767441860465
2634,18915,"男",133,2,9,0,0,525.65,10512.1,0,0,0,0,0,0,0,"[]","动画",0.571428571428571
2648,14557,"男",187,2,0,0,0,1161.95,27082.35,0,0,0,0,0,0,0,"[]","动画",0.925133689839572
2705,1990,"保密",1442,0,0,0,0,252.45,343.55,0,0,1,0,0,0,0,"[]","音乐",0.998613037447989
2776,13208,"男",79,3,34,0,6,4108.85,1754.6,0,0,0,0,0,0,0,"[]","游戏",0.949367088607595
3201,9731,"男",186,3,64,0,0,680.95,134750.1,0,0,0,0,0,0,0,"[]","鬼畜",0.806451612903226
3295,268657,"女",167,3,305,0,4,425.05,56902.35,1,0,1,0,0,0,0,"['声优', '主播', '虚拟up', '游戏', '歌姬']","动画",0.427710843373494
3341,2641,"男",133,0,4,18,0,702.15,3603.8125,0,0,0,0,0,0,0,"[]","动画",0.759398496240602
3506,37613,"男",1363,3,159,0,1,869.05,43160.95,0,0,0,0,0,0,0,"['喷神james', '车牌']","游戏",0.939104915627293
3734,2228,"男",52,2,4,0,0,812.6,2381.05,0,0,0,0,0,0,0,"[]","游戏",1
4092,6549,"男",98,3,94,0,0,6279.85,3096.25,0,0,1,0,0,0,0,"[]","动画",0.897959183673469
4554,30765,"保密",448,3,78,0,0,1855.6,856.3,0,0,0,0,0,0,0,"[]","音乐",0.834821428571429
4776,28165,"女",53,2,45,1,4,1132.2,46440.9,0,0,0,0,0,0,0,"[]","游戏",0.849056603773585
5055,1069769,"女",216,3,41,0,0,337.05,172769.7,0,0,0,0,0,0,0,"[]","音乐",0.972222222222222
5276,206249,"女",82,3,250,0,0,291.95,206979.65,0,0,0,0,0,0,0,"[]","舞蹈",0.902439024390244
5681,30576,"男",171,3,5,0,1,407.4,30363.45,0,0,0,0,0,0,0,"[]","生活",0.526315789473684
5730,15316,"女",86,3,195,1,2,599.3,3695.65,0,0,1,0,0,0,0,"[]","音乐",0.546511627906977
5737,1537,"保密",54,0,171,1,0,143.95,987.55,0,0,0,0,0,0,0,"[]","动画",0.925925925925926
5965,9512,"女",298,0,0,0,0,2867.2,79689.9,0,0,0,0,0,0,0,"[]","其他",0.822147651006711
6196,57673,"男",1550,2,14,0,10,7274.05,4205.2,1,0,0,0,0,0,0,"['音MAD', 'nico厨', '松冈修造', 'Fate系列', '偶像大师系列']","鬼畜",0.586451612903226
6311,2053,"保密",87,3,3,0,0,237.85,1515.2,0,0,0,0,0,0,0,"[]","音乐",0.988505747126437
7105,79648,"男",118,3,1,0,0,730.3,93004.15,0,0,0,0,0,0,0,"[]","游戏",0.88135593220339
7222,7510,"男",157,1,7,3,0,1264.15,4817.95,0,0,0,0,0,0,0,"[]","其他",0.573248407643312
7237,66822,"女",80,3,12,0,0,250.85,24903.65,0,0,0,0,0,0,0,"[]","音乐",1
7329,10161,"男",139,3,199,1,3,235,11866.05,1,0,1,0,0,0,0,"['神谷念奇', 'にまび', 'neki', '中配银魂', 'nimabi']","音乐",0.683453237410072
7349,1325169,"男",728,3,67,7,9,826.55,278317.05,1,1,1,1,1,0,0,"['屎蛋说', '游戏', 'STN快报', '屎屎看']","游戏",0.774725274725275
7419,6059,"男",65,3,0,0,0,273.8,25391.5625,0,0,0,0,0,0,0,"['字幕君']","动画",0.707692307692308
7825,49509,"男",103,3,27,0,0,240.15,17054.9,1,0,1,0,0,0,0,"[]","音乐",0.922330097087379
8744,18945,"男",85,2,10,0,3,4736.1,11641.65,1,0,1,0,0,0,0,"['饥荒', '直播', '主机游戏']","游戏",1
8839,19515,"保密",766,0,0,0,0,1185.55,14266.7647058823,0,0,0,0,0,0,0,"[]","鬼畜",0.823759791122715
10255,17014,"男",80,3,61,0,2,253.4,2961.3,0,0,0,0,0,0,0,"[]","音乐",0.8125
10698,23460,"男",81,3,20,0,0,1144.75,22782.6842105263,0,0,0,0,0,0,0,"[]","动画",0.617283950617284
11073,1422907,"女",149,2,20,0,2,448.55,435560.05,1,0,0,0,0,0,0,"[]","音乐",0.818791946308725
11480,6877,"保密",164,1,79,0,0,950.65,6444.55,0,0,0,0,0,0,0,"[]","生活",0.426829268292683
11931,4255,"保密",307,3,1,0,0,536.3,11146.6,0,0,0,0,0,0,0,"[]","音乐",0.973941368078176
12018,156712,"男",91,3,35,0,5,438.7,154968.75,1,0,0,0,1,0,0,"[]","游戏",0.934065934065934
12246,122299,"男",71,3,132,36,5,3603.6,49193.9,0,0,0,1,0,0,0,"['东方', '东方Project', '囧仙']","动画",0.450704225352113
12974,25809,"女",68,0,32,1,2,520.65,46052.85,1,0,0,0,0,0,0,"['战舰世界']","游戏",0.970588235294118
12994,94198,"男",764,3,44,0,6,24631.8,15203.2,0,0,0,0,0,0,0,"['年轻司机', '友谊是魔法', '单机游戏']","游戏",0.989528795811518
13046,517806,"男",509,3,17,0,0,9357.05,129123.3,0,0,0,0,0,0,0,"[]","游戏",0.980353634577603
13225,526,"男",52,0,0,0,0,1019.5,8082.8,0,0,0,0,0,0,0,"[]","生活",0.442307692307692
13490,22654,"男",85,3,31,0,4,227.9,30577.6,1,0,1,0,1,0,0,"['翻唱', '吃枕头', 'CZT']","音乐",0.988235294117647
13501,15413,"保密",361,3,6,0,1,211.1,29336.3846153846,0,0,0,0,0,0,0,"[]","舞蹈",0.78393351800554
13602,30499,"男",92,3,8,4,3,146084.2,13268.45,0,0,0,0,0,0,0,"[]","游戏",1
13834,5652,"男",191,3,3,0,6,705.3,5266.2,0,0,0,0,0,0,0,"[]","游戏",0.62303664921466
14164,112379,"男",338,3,62,15,0,974.1,21160.85,0,0,1,0,0,0,0,"['魔性配音', '剧本写手', '中二狂魔']","游戏",0.964497041420118
14355,9915,"男",83,0,1,0,0,85102.2,216495.105263157,0,0,0,0,0,0,0,"[]","动画",0.373493975903614
14821,13320,"保密",76,3,5,1,0,1016.8,21645.6842105263,0,0,0,0,0,0,0,"[]","动画",0.618421052631579
15312,131757,"保密",133,1,110,0,7,435.85,89433.2,0,0,0,0,0,0,0,"[]","音乐",0.518796992481203
15810,383911,"男",427,0,85,0,0,17166.5,74187.25,0,0,0,0,0,0,0,"[]","游戏",1
16450,248247,"男",207,3,245,5,7,248.3,11564.75,0,0,0,0,0,0,0,"['神威鬼鸣', '鬼叔', '火烧农民配音工作室', '东北话配音']","音乐",0.545893719806763
16541,2087,"男",71,0,0,0,0,1062.75,3879.7,0,0,0,0,0,0,0,"[]","游戏",0.52112676056338
16765,91675,"保密",183,3,93,4,7,155.9,124948.35,1,0,1,0,0,0,0,"['视频作者', '游戏狂魔', '直播新萌', '大魔法师', '抠图狂魔']","动画",0.918032786885246
17357,5657,"男",96,3,2,0,0,257.45,2436.6,0,0,0,0,0,0,0,"['爬宠', '蜘蛛', '蜥蜴', '蛇', '鹦鹉']","生活",0.979166666666667
17707,5384,"保密",502,0,6,0,0,2812.8,940.95,0,0,0,0,0,0,0,"[]","游戏",0.442231075697211
18018,75701,"保密",201,0,0,0,0,1714.8,11929.3,0,0,0,0,0,0,0,"[]","游戏",0.880597014925373
19177,118976,"保密",540,2,0,0,0,399.65,26700.3157894736,0,0,0,0,0,0,0,"[]","其他",0.757407407407407
19193,402399,"保密",83,3,144,1,0,1232.65,40097.85,0,0,0,0,0,0,0,"[]","科技",0.807228915662651
19251,3504,"男",58,0,19,0,0,22649.3,2149.5,0,0,0,0,0,0,0,"[]","动画",0.53448275862069
19523,196474,"女",109,3,27,0,8,262.15,256802.4,1,0,0,0,0,0,0,"[]","影视",0.871559633027523
19653,180553,"男",10706,0,7,0,0,465.75,286756.65,0,0,0,0,0,0,0,"[]","其他",0.431614349775785
19919,111101,"女",124,0,0,0,0,1246.9,115032.4375,0,0,0,0,0,0,0,"[]","其他",0.290322580645161
20227,132647,"男",171,3,43,0,6,297.1,38638.35,1,1,1,0,0,0,0,"[]","影视",0.736842105263158
20927,204926,"男",547,3,208,88,9,1796.85,44342.35,0,0,0,0,0,0,0,"[]","音乐",0.996343692870201
21499,2116,"男",76,1,3,0,0,288.65,273.05,0,0,0,0,0,0,0,"['声优', 'CV', '配音', '游戏']","动画",0.657894736842105
21666,20752,"男",220,2,0,0,0,7871.3,3298.05,0,0,0,0,0,0,0,"[]","游戏",1
21857,342355,"保密",74,3,52,1,5,712.9,54624.7,1,0,1,0,0,0,0,"[]","生活",0.567567567567568
22227,15752,"男",107,3,46,0,4,1976.65,1677.55,1,0,1,0,0,0,0,"['FKB', '白妈', '后期君']","游戏",0.728971962616822
22781,433528,"男",251,3,188,1,2,891.3,41910.9,0,0,0,0,0,0,0,"[]","生活",0.948207171314741
22910,1025,"男",242,0,3,1,0,1050.05,9039.85,0,0,0,0,0,0,0,"[]","音乐",0.929752066115702
23219,42454,"男",175,0,0,0,0,4265.15,55803.35,0,0,0,0,0,0,0,"[]","游戏",1
23537,39730,"男",1200,3,416,34,7,521.15,8297.1,1,0,0,0,0,0,0,"['LZz酱的忧郁', '命运2攻略', '怪物猎人世界']","游戏",0.986666666666667
24323,260164,"保密",83,3,128,2,5,1988.15,61510.05,1,0,1,0,0,0,0,"['MC建筑视频', '国家建筑师', '国建服主']","游戏",0.879518072289157
25753,39382,"男",228,0,1,0,0,4547.2,5736.9,0,0,0,0,0,0,0,"[]","游戏",0.995614035087719
26310,2336,"男",273,0,2,0,0,320.05,16853.65,0,0,0,0,0,0,0,"['传说系列', '音MAD']","游戏",0.318681318681319
26318,1013,"男",117,0,0,0,0,212.95,1187.45,0,0,0,0,0,0,0,"[]","动画",0.948717948717949
26395,704,"男",174,1,0,0,0,3539.45,53.25,0,0,0,0,0,0,0,"[]","游戏",0.873563218390805
26597,24212,"保密",1155,0,0,0,0,167.95,11540.45,0,0,0,0,0,0,0,"['百合', 'MAD']","动画",0.597402597402597
27145,3811,"保密",504,0,419,0,0,1821.25,1257,0,0,0,0,0,0,0,"[]","动画",0.83531746031746
27170,19797,"男",848,3,34,0,10,2256.85,2221.75,0,0,1,0,0,0,0,"[]","游戏",0.968160377358491
27209,3544,"男",112,0,0,0,0,379,9100.4,0,0,0,0,0,0,0,"[]","鬼畜",0.339285714285714
27380,140656,"男",80,3,785,0,6,349.1,135419.9,0,0,1,0,0,0,0,"[]","游戏",0.75
27961,21981,"保密",739,3,89,3,10,3187.65,2278.15,1,0,1,0,0,0,0,"['闪闪', 'MUGEN']","游戏",0.983761840324763
28716,3567,"男",260,3,48,2,4,1951.35,1490.35,0,0,0,0,0,0,0,"[]","其他",0.688461538461538
28819,27214,"保密",707,3,193,0,10,427.95,2506.05,0,0,1,0,0,0,0,"[]","游戏",0.712871287128713
28983,67430,"男",72,3,142,4,4,349.05,157366.4,0,0,0,0,0,0,0,"[]","动画",1
29159,79524,"保密",154,3,13,3,2,2375.85,34377.3,1,0,1,0,0,0,0,"[]","动画",0.915584415584416
29743,141411,"男",140,3,202,1,1,371.85,55308.6,1,0,1,0,0,0,0,"['MMD', '面具子', '东方栀子']","动画",0.671428571428571
30160,334379,"男",100,3,54,4,1,2830.9,626498.9,0,0,0,0,0,0,0,"[]","动画",0.43
30324,573,"男",104,0,1,0,0,1857,15775.15,0,0,0,0,0,0,0,"['switch', '伪任饭']","游戏",1
31685,5940,"保密",384,0,0,0,0,244,8169.8,0,0,0,0,0,0,0,"[]","动画",0.783854166666667
33153,707,"男",55,2,0,0,0,269.05,1589.15,1,0,0,0,0,0,0,"[]","音乐",0.836363636363636
33559,58245,"保密",215,3,203,4,9,361.2,16952.8,0,0,0,0,0,0,0,"[]","生活",0.962790697674419
33696,182283,"保密",316,3,200,5,5,7408,21114.25,0,0,0,0,0,0,0,"[]","游戏",0.835443037974684
34264,5354,"男",64,3,3,0,0,213.3,27539.85,0,0,0,0,0,0,0,"[]","游戏",0.953125
35467,1759,"男",285,0,0,0,0,894.15,12657.05,0,0,0,0,0,0,0,"[]","动画",0.410526315789474
35680,17392,"男",75,0,0,0,0,2481.1,14883.9,0,0,0,0,0,0,0,"[]","游戏",1
35897,14142,"男",1535,0,0,0,0,397.4,6390,0,0,0,0,0,0,0,"[]","动画",0.682736156351792
37118,20790,"保密",262,3,33,2,5,133.65,7908.15,0,0,0,0,0,0,0,"[]","动画",0.534351145038168
38829,508434,"男",1576,3,2117,5,10,1226.6,52970.35,0,0,1,0,0,0,0,"['东方', '少女前线', '明日方舟', 'Vtuber', 'VUP']","游戏",0.950507614213198
39056,11206,"男",141,0,0,0,0,127.4,11114.9,0,0,0,0,0,0,0,"[]","鬼畜",0.347517730496454
39679,224350,"保密",4734,3,15,0,10,428.15,7753.2,0,1,1,0,0,0,0,"[]","音乐",0.704959728698601
40217,84402,"男",83,0,16,0,0,1161.2,33434.65,0,0,0,0,0,0,0,"[]","音乐",0.72289156626506
40810,7696,"保密",70,0,15,1,0,444.9,2898.15,0,0,0,0,0,0,0,"[]","音乐",0.485714285714286
41593,75876,"保密",304,3,47,3,10,345.1,125866.6,0,0,1,0,0,0,0,"['粤语配音', '粤语翻唱', '粤语', 'RCVO']","动画",0.700657894736842
41784,16636,"男",87,0,48,1,0,276.15,21075.1,0,0,0,0,0,0,0,"[]","娱乐",0.655172413793103
42475,17261,"男",147,3,294,0,0,1446.2,119254.2,0,0,0,0,0,0,0,"['不安', 'Triaon工作室']","游戏",0.836734693877551
43070,78942,"女",185,3,9,0,5,530.7,37644.05,0,0,0,0,0,0,0,"['影评', '解说', '混剪']","游戏",0.578378378378378
43074,34864,"男",255,3,512,7,3,748.45,11891.9,0,0,0,0,0,0,0,"[]","科技",0.776470588235294
43536,1926546,"保密",988,3,316,2,0,9609.8,83965.4,0,0,0,0,0,0,0,"['黑桐谷歌']","游戏",0.994939271255061
43706,38086,"保密",177,3,623,6,7,5526.45,49694.7,0,0,1,0,0,0,0,"['FGO']","游戏",0.864406779661017
43855,204559,"保密",179,3,288,0,0,251.45,84162.8,1,0,1,0,0,0,0,"['litterzy', '吉他', '言和']","音乐",0.893854748603352
44067,1162,"男",163,0,0,0,0,206.15,3540.65,0,0,0,0,0,0,0,"[]","鬼畜",0.957055214723926
44524,270862,"男",103,3,244,1,0,384.9,519778.05,0,0,0,0,0,0,0,"[]","舞蹈",0.893203883495146
45633,935,"男",258,0,0,0,0,959.55,2160.14285714285,0,0,0,0,0,0,0,"[]","游戏",0.984496124031008
46537,53844,"保密",1060,1,16,5,0,1162.75,26845.75,0,0,0,0,0,0,0,"[]","生活",0.984905660377358
47291,629308,"男",236,3,55,2,6,5117.2,392615.1,0,0,0,0,0,0,0,"['抽']","游戏",0.923728813559322
47441,40132,"保密",240,2,193,0,4,189,27125.05,0,0,0,0,0,0,0,"['VRChat', 'Ruriko琉璃子', '虚拟主播', '虚拟UP主', 'Vtuber']","游戏",0.8875
